problem,method,converged_rate,success_rate,success_support,f_best_mean,f_best_std,iterations_mean,iterations_std,time_sec_mean,time_sec_std,func_calls_mean,func_calls_std,peak_memory_kib_mean,peak_memory_kib_std,mae_mean,mse_mean,rmse_mean
desmos_round_sin,gradient_descent,0.0,,0,13.253332991601424,0.0,8.0,0.0,0.0013381083263084292,0.0005916710345054336,181.0,0.0,1.0087890625,0.028266688554165306,,,
desmos_round_sin,differential_evolution,1.0,,0,0.45326491050379264,0.2365988972078082,55.166666666666664,15.496822743759934,0.736918416650345,0.19754117275376568,1965.8333333333333,542.3887960315977,10.586588541666666,0.36981672592015213,,,
desmos_round_sin,nelder_mead,1.0,,0,3.4817911750329977,0.0,227.0,0.0,0.017162833333713934,0.0031491028945627377,1814.0,0.0,6.806640625,0.5416463212324879,,,
desmos_round_sin,simulated_annealing,0.0,,0,0.23742641289853614,0.17624411911825846,2471.0,0.0,0.8036221916457483,0.11801349902436337,2472.0,0.0,27.133463541666668,0.06108195412357857,,,
himmelblau,nelder_mead,1.0,1.0,12,1.7822972708188259e-09,0.0,43.0,0.0,0.002027933340286836,0.000493699444247097,340.0,0.0,1.6875,0.048446663356116804,1.7822972708188259e-09,3.1765835615682352e-18,1.7822972708188259e-09
himmelblau,gradient_descent,1.0,1.0,12,3.054464555314281e-19,0.0,44.0,0.0,0.0019031916356955965,0.0003415506237665545,372.0,0.0,1.4248046875,0.028486666101820178,3.054464555314281e-19,9.329753719671268e-38,3.0544645553142814e-19
himmelblau,differential_evolution,1.0,1.0,12,0.0004805735905872883,0.0002986735388249351,44.083333333333336,7.292067088572513,0.5297559583268594,0.08410581449624363,1577.9166666666667,255.222348100038,10.6669921875,0.37784491411069454,0.0004805735905872883,3.127230351979844e-07,0.0005592164475388616
himmelblau,simulated_annealing,0.08333333333333333,0.08333333333333333,12,0.08626406123878716,0.07113494136327225,2431.9166666666665,135.38863812496731,0.7848890666694691,0.05699558476198409,2432.9166666666665,135.38863812496731,26.833658854166668,1.2499305937022491,0.08626406123878716,0.012079986487269058,0.10990899183992661
matyas,differential_evolution,1.0,1.0,12,0.0005699190428340087,0.0002909644432140973,11.666666666666666,2.994945236510506,0.14142054168041795,0.03611745466845221,443.3333333333333,104.82308327786771,10.423177083333334,0.4785825362927985,0.0005699190428340087,4.024129969984815e-07,0.0006343603053458512
matyas,nelder_mead,1.0,1.0,12,8.339891592885567e-10,0.0,33.0,0.0,0.0006597166454109052,0.00020458194360350085,259.0,0.0,1.5703125,0.03221176270013814,8.339891592885567e-10,6.955379178108335e-19,8.339891592885568e-10
matyas,gradient_descent,1.0,1.0,12,4.2977861566318217e-17,0.0,193.0,0.0,0.0036466666497290134,0.0008098863944932114,1157.0,0.0,5.672200520833333,0.8967063257837098,4.2977861566318217e-17,1.847096584813613e-33,4.297786156631823e-17
matyas,simulated_annealing,0.8333333333333334,0.8333333333333334,12,0.0005598630719529197,0.00053720412944405,1489.5,582.9826911511337,0.4344958083432478,0.17682090540605486,1490.5,582.9826911511337,19.815511067708332,4.935350368640058,0.0005598630719529197,5.779859129706546e-07,0.0007602538477184148
rastrigin,nelder_mead,1.0,0.0,12,17.909202488085754,0.0,36.0,0.0,0.0014133583463262767,0.0004776592422902033,283.0,0.0,1.48828125,0.0,17.909202488085754,320.739533759257,17.909202488085754
rastrigin,differential_evolution,0.8333333333333334,0.8333333333333334,12,0.10696820138314041,0.30670884972748563,52.166666666666664,12.179217270963408,0.6925890166700507,0.1834689994200113,1860.8333333333333,426.27260448371925,10.830078125,0.46644534357727485,0.10696820138314041,0.09767332139987167,0.3125273130461907
rastrigin,gradient_descent,0.0,0.0,12,17.909202482974017,0.0,2000.0,0.0,0.739530741693064,0.08145189232453046,67224.0,0.0,61.7646484375,0.5345000538982079,17.909202482974017,320.73953357616267,17.909202482974013
rastrigin,simulated_annealing,0.0,0.0,12,0.5752093441448626,0.43288488459493285,2471.0,0.0,0.8397048583525853,0.12638813392103684,2472.0,0.0,27.1484375,0.13056886639141355,0.5752093441448626,0.5026393359597673,0.7089706171342839
